msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Fort McPherson",Close,-2260,-1881,0,0,-2260,-1881,0,-4141,-2705,-6846,2777548,-0.2%
"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Naval Air Station Atlanta",Close,-1274,-156,0,0,-1274,-156,-68,-1498,-807,-2305,2777548,-0.1%
"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Peachtree Leases Atlanta",Close,-65,-97,0,0,-65,-97,0,-162,-114,-276,2777548,0.0%
"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Dobbins Air Reserve Base",Gain,0,0,73,45,73,45,0,118,74,192,2777548,0.0%
"Atlantic City, NJ Metropolitan Statistical Area","Atlantic City International Airport Air Guard Station",Gain,-3,-53,62,263,59,210,0,269,207,476,175797,0.3%
"Bakersfield, CA Metropolitan Statistical Area","Edwards Air Force Base",Gain,-14,0,23,42,9,42,0,51,62,113,325440,0.0%
"Bakersfield, CA Metropolitan Statistical Area","Naval Air Weapons Station China Lake",Gain,-44,-14,198,2329,154,2315,0,2469,3129,5598,325440,1.7%
"Baltimore-Towson, MD Metropolitan Statistical Area","Leased Space - MD",Close/Realign,-3,-121,0,0,-3,-121,0,-124,-118,-242,1568140,0.0%
"Baltimore-Towson, MD Metropolitan Statistical Area","Aberdeen Proving Ground",Gain,-3862,-290,451,5661,-3411,5371,216,2176,2814,4990,1568140,0.3%
"Baltimore-Towson, MD Metropolitan Statistical Area","Fort Meade",Gain,-2,0,684,2915,682,2915,1764,5361,4875,10236,1568140,0.7%
"Baltimore-Towson, MD Metropolitan Statistical Area","Martin State Airport Air Guard Station",Realign,-17,-106,0,0,-17,-106,0,-123,-114,-237,1568140,0.0%
"Baltimore-Towson, MD Metropolitan Statistical Area","Naval Station Annapolis",Realign,0,-13,0,0,0,-13,0,-13,-12,-25,1568140,0.0%
